CustomerID,recency,frequency,monetary,kmeans_cluster,agg_cluster
12346,5.7899601708972535,0.6931471805599453,9.897524398219646,0,1
12347,1.0986122886681098,2.0794415416798357,8.368925174747135,1,1
12348,4.330733340286331,1.6094379124341003,7.494563687769957,1,1
12349,2.995732273553991,0.6931471805599453,7.472244884833674,0,0
12350,5.739792912179234,0.6931471805599453,5.815323849389109,0,0
12352,3.6109179126442243,2.1972245773362196,7.826858053356098,1,1
12353,5.3230099791384085,0.6931471805599453,4.499809670330265,0,0
12354,5.4510384535657,0.6931471805599453,6.985086621918461,0,0
12355,5.3706380281276624,0.6931471805599453,6.132095676847728,0,0
12356,3.1780538303479458,1.3862943611198906,7.941804157314053,1,1
12357,3.5263605246161616,0.6931471805599453,8.733701981297274,1,0
12358,1.0986122886681098,1.0986122886681098,7.063955286074528,1,0
12359,4.07753744390572,1.6094379124341003,8.759916600117213,1,1
12360,3.970291913552122,1.3862943611198906,7.887231116540211,1,1
12361,5.662960480135946,0.6931471805599453,5.251749730731702,0,0
12362,1.3862943611198906,2.3978952727983707,8.56163678004062,1,1
12363,4.709530201312334,1.0986122886681098,6.315358001522335,0,0
12364,2.1972245773362196,1.6094379124341003,7.180907299649593,1,1
12365,5.676753802268282,1.0986122886681098,6.465180028897591,0,0
12367,1.6094379124341003,0.6931471805599453,5.135210028677887,0,0
12370,3.9512437185814275,1.6094379124341003,8.173770053153254,1,1
12371,3.828641396489095,1.0986122886681098,7.543781692052325,0,0
12372,4.290459441148391,1.3862943611198906,7.169380809114136,0,0
12373,5.7430031878094825,0.6931471805599453,5.901539839579995,0,0
12374,3.258096538021482,0.6931471805599453,6.6119469443852195,0,0
12375,2.4849066497880004,1.0986122886681098,6.127960291696519,0,0
12377,5.755742213586912,1.0986122886681098,7.395795270713971,0,0
12378,4.875197323201151,0.6931471805599453,8.29645175271804,0,0
12379,4.418840607796598,1.0986122886681098,6.749040867823617,0,0
12380,3.1354942159291497,1.6094379124341003,7.910520910634419,1,1
12381,1.791759469228055,1.791759469228055,7.520944331624911,1,1
12383,5.225746673713202,1.791759469228055,7.523783805985769,1,0
12384,3.4011973816621555,1.0986122886681098,6.373780434317173,0,0
12386,5.82600010738045,1.0986122886681098,5.998688392197302,0,0
12388,2.833213344056216,1.9459101490553132,7.930803150780256,1,1
12390,4.394449154672439,0.6931471805599453,6.311444385858925,0,0
12391,3.1354942159291497,0.6931471805599453,6.1353267674944725,0,0
12393,4.290459441148391,1.6094379124341003,7.3674560152319755,1,1
12394,4.174387269895637,1.0986122886681098,7.149508589545504,0,0
12395,2.995732273553991,2.5649493574615367,8.012889586306857,1,1
12397,3.6109179126442243,1.0986122886681098,7.7877554007552545,1,0
12398,3.8501476017100584,0.6931471805599453,7.4004128587924045,0,0
12399,4.787491742782046,1.6094379124341003,7.011799929268738,0,1
12401,5.717027701406222,0.6931471805599453,4.446174454497633,0,0
12402,5.780743515792329,0.6931471805599453,5.423186348593906,0,0
12403,3.9318256327243257,0.6931471805599453,6.0607573736039315,0,0
12405,5.0106352940962555,0.6931471805599453,7.445061184797548,0,0
12406,3.1354942159291497,1.0986122886681098,8.136313373066384,1,0
12407,3.9318256327243257,1.791759469228055,7.4437338971514055,1,1
12408,3.5263605246161616,1.791759469228055,7.968856059639959,1,1
12409,4.382026634673881,1.3862943611198906,9.312325497408466,1,1
12410,5.736572297479192,1.0986122886681098,6.542947351813216,0,0
12412,4.330733340286331,1.3862943611198906,7.1130443840624835,0,0
12413,4.219507705176107,1.3862943611198906,6.632133521022722,0,0
12414,5.384495062789089,1.3862943611198906,6.334007604663525,0,0
12415,3.2188758248682006,3.091042453358316,9.897524398219646,1,1
12417,1.3862943611198906,2.302585092994046,8.202509843461513,1,1
12418,4.736198448394496,0.6931471805599453,6.506650650150935,0,0
